"session_id",playback_position_s,current_bitrate_kbps,"current_resolution",buffer_length_s,bandwidth_estimate_kbps,live_latency_s,playback_rate
"c25c3770-9ce3-4238-bded-abee7b783b73",146.982,2537,"1280x720",82.98372,43593.83,83.61266,1
"c25c3770-9ce3-4238-bded-abee7b783b73",131.98784,2537,"1280x720",80.00563,45742.18,81.61362,1
"c25c3770-9ce3-4238-bded-abee7b783b73",116.98947,2537,"1280x720",81.002365,45732.312,82.627464,1
"c25c3770-9ce3-4238-bded-abee7b783b73",114.34767,2537,"1280x720",69.64253,45710.867,69.663994,1
"c25c3770-9ce3-4238-bded-abee7b783b73",113.78187,2537,"1280x720",54.186565,45616.945,54.82669,1
"c25c3770-9ce3-4238-bded-abee7b783b73",100.3248,2537,"1280x720",53.642002,45367.59,53.68717,1
"c25c3770-9ce3-4238-bded-abee7b783b73",100.3248,2537,"1280x720",37.686367,45261.477,37.686867,1
"c25c3770-9ce3-4238-bded-abee7b783b73",90.608116,2537,"1280x720",33.403053,45100.254,33.403755,1
"c25c3770-9ce3-4238-bded-abee7b783b73",84.72913,2537,"1280x720",23.262157,44519.22,23.893188,1
"c25c3770-9ce3-4238-bded-abee7b783b73",79.96413,2537,"1280x720",14.025535,45858.086,14.047544,1
